TYP; REGELSET; DATEI; PFAD; INFO
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (857); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (858); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (859); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (860); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (861); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (862); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (863); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (864); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (865); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (866); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (867); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (868); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (869); Kein Element gefunden in 'Englisch Alt'.
VERALTET; Basic-Versionen #1 Nur Name; ShipHulls_CrazedHiveInsectoids.xml; /*/*/Name (0); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ShipHulls_CrazedHiveInsectoids.xml; /*/*/Name (1); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ShipHulls_CrazedHiveInsectoids.xml; /*/*/Name (2); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ShipHulls_CrazedHiveInsectoids.xml; /*/*/Name (3); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ShipHulls_CrazedHiveInsectoids.xml; /*/*/Name (4); Kein Element gefunden in 'Englisch Alt'.
